;Gender;Age;Residence;Education;Occupation;Environmental_affect;Everyday_affect;Time_to_degrade;Recycling_symbol;Microplastic_in_food;Chemical_absorbtion;Recycle_plastic;Product_use;usage_reason;plastic_over_other;purchase_behaviour;ensure_biodegradable;microwavesafe;takeyourbag;location_of_usage;food_in_bag;bag_reuse;bottle_reuse;cleaning_responsibility;dispose_outdoor;waste_around_you;disposal_behaviour;special_bins;negative_impact;teaching_kids;awareness_source;way_to_reduce;willing_to_adopt;alternatives;survival_without_plastic
1;Female;Young;Iqbal Town;University;Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;Yes;Strongly Agree;Strongly Agree;Agree;Bottle,                          Bags,                              Buckets,                                   Slipper,                    Snack Bag;Lightweight,        Easily Available;Sometimes;1- 10;Usually;Often;Usually;Home;Usually;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Institute;Individual behavior change;Strongly Agree;Cloth bag;Agree
2;Female;Young;Iqbal Town;University;Housewife;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Don’t know;I never saw it;Disagree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                    Snack Bag,                                 Utensil;Easily Available;Sometimes;Not at all;Usually;Usually;Usually;Home;Always;more than 5;Few months;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Individual behavior change;Strongly Agree;Glass;Agree
3;Female;Young;Iqbal Town;College;Working Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Easily Available;Sometimes;1- 10;Never;Usually;Sometimes;Outdoor;Usually;One time;Few months;Usually;Dump in near by trash can;Always pick it up;Sort through proper channels;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
4;Female;Middle Aged;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;No;Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Easily Available;Never;1- 10;Never;Often;Often;Outdoor;Always;One time;One time;Usually;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact and look for the alternative;No;Campaigns;Government regulations and bans;Agree;Cloth bag;Strongly Agree
5;Female;Middle Aged;Data gunj buksh;University;Employee;Strongly Agree;Health;Never degrade;I never saw it;Agree;Agree;Agree;Bags;Easily Available;Never;1- 10;Never;Usually;Usually;Home;Usually;more than 5;Didn’t reuse;Always;Dump in near by trash can;Sometimes pick it up;Burning;Yes;I think about the negative impact of the plastic and sometimes I don not buy it;No;Own experience;Individual behavior change;Strongly Agree;Cloth bag;Neutral
6;Female;Middle Aged;Data gunj buksh;University;Employee;Strongly Agree;Health;Don’t know;I never saw it;Neutral;Strongly Agree;Strongly Agree;Bags,                              Buckets,                                  Bowls,                                 Utensil;No Alternatives;Always;1- 10;Always;Always;Often;Home;Usually;more than 5;Few months;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
7;Male;Young;Iqbal Town;University;Unemployed;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;days50;I never saw it;Strongly Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Easily Available;Never;1- 10;Sometimes;Never;Always;Outdoor;Usually;2-1 years;Few months;Always;Carry it with you to dispose of later or when you reach home;Always pick it up;Open Dumping;No;I think about negative impact and look for the alternative;Yes;Own experience;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
8;Male;Old;Nishter;Nothing;Housewife;Strongly Disagree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;500 years;I never saw it;Strongly Disagree;Strongly Disagree;Strongly Disagree;Utensil;No Alternatives;Always;Not at all;Never;Always;Never;Outdoor;Always;2-1 years;Didn’t reuse;Always;Dump in near by trash can;Sometimes pick it up;Burying;Yes;I think about the negative impact of the plastic and sometimes I don not buy it;No;Own experience;Corporate responsibility and sustainability initiatives;Neutral;Glass;Neutral
9;Female;Young;Data gunj buksh;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;50 years;I never saw it;Agree;Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Price is Low,                         Lightweight,        Easily Available,               No Alternatives;Usually;11 - 25;Never;Never;Never;Home;Always;more than 5;Few months;Usually;Carry it with you to dispose of later or when you reach home;Sometimes pick it up;Sell;No;I think about negative impact of plastic but I buy it anyways;No;Family /friends;Individual behavior change;Agree;Cloth bag;Strongly Agree
10;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Marine life;Never degrade;Yes;Disagree;Strongly Agree;Agree;Bottle,                          Bags,  Food containers,                                 Utensil;Easily Available;Sometimes;1- 10;Never;Always;Never;Home;Always;more than 5;Few months;Always;Dump in near by trash can;Ignore it;Sell;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Own experience;Individual behavior change;Agree;Cloth bag;Strongly Agree
11;Female;Young;Data gunj buksh;University;Employee;Agree;Deterioration of Natural Beauty;Never degrade;Yes;Neutral;Agree;Agree;Bottle;Easily Available;Never;1- 10;Sometimes;Sometimes;Always;Outdoor;Usually;Don’t reuse;One time;Always;Dump in near by trash can;Sometimes pick it up;Sell;No;I think about negative impact and look for the alternative;Yes;Own experience;Individual behavior change;Agree;Cloth bag;Agree
12;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;50 years;Yes;Agree;Strongly Agree;Neutral;Bottle,                          Bags,                              Buckets,  Food containers,                    Snack Bag,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Usually;1- 10;Never;Sometimes;Usually;Home;Usually;more than 5;Few months;Usually;Carry it with you to dispose of later or when you reach home;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Individual behavior change;Agree;Cloth bag;Strongly Agree
13;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Never degrade;I never saw it;Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                 Utensil;Other;Sometimes;1- 10;Never;Usually;Often;Home;Often;One time;One time;Never;Carry it with you to dispose of later or when you reach home;Ignore it;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;Institute;Government regulations and bans;Agree;Cloth bag;Agree
14;Female;Old;Samnabad;University;Employee;Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;Never degrade;No;Agree;Agree;Disagree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                    Other;Price is Low,                         Lightweight,        Easily Available,                              Other;Usually;1- 10;Never;Never;Always;Home;Always;more than 5;Few months;Sometimes;Throw it on ground;Ignore it;Open Dumping;No;I think about negative impact and look for the alternative;No;News;Other;Strongly Disagree;No, I am okay with plastic;Neutral
15;Female;Young;Data gunj buksh;University;Housewife;Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;50 years;No;Neutral;Agree;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;No Alternatives;Often;1- 10;Often;Usually;Sometimes;Home;Always;more than 5;One time;Always;Dump in near by trash can;Ignore it;Burning;No;I think about negative impact of plastic but I buy it anyways;No;Social media;Individual behavior change;Strongly Agree;Paper bag;Agree
16;Female;Young;Data gunj buksh;University;Employee;Strongly Agree;Marine life;Don’t know;I never saw it;Strongly Agree;Strongly Agree;Disagree;Other;No Alternatives;Never;11 - 25;Sometimes;Never;Never;Outdoor;Always;more than 5;Few months;Always;Dump in near by trash can;Always pick it up;Sort through proper channels;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Strongly Agree;Paper bag;Strongly Agree
17;Female;Young;Iqbal Town;University;Employee;Agree;Health;50 years;Yes;Agree;Agree;Agree;Bottle,                              Buckets,  Food containers,                                   Slipper,                                 Utensil,                                    Other;Price is Low;Always;1- 10;Always;Usually;Usually;Home;Usually;more than 5;Few weeks;Usually;Dump in near by trash can;Always pick it up;Burying;Yes;I think about negative impact of plastic but I buy it anyways;Yes;Own experience;Individual behavior change;Agree;Cloth bag;Agree
18;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Health,          Deterioration of Natural Beauty,             Sewage System;Don’t know;No;Agree;Neutral;Strongly Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Price is Low,        Easily Available;Often;1- 10;Never;Never;Often;Outdoor;Always;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Corporate responsibility and sustainability initiatives;Strongly Agree;Cloth bag;Strongly Agree
19;Female;Middle Aged;Data gunj buksh;University;Employee;Agree;Marine life,                            Health,             Sewage System;Never degrade;I never saw it;Agree;Strongly Agree;Disagree;Bottle,                          Bags,                                  Bowls,                    Snack Bag,                                 Utensil;Easily Available;Usually;1- 10;Sometimes;Often;Usually;Office;Usually;One time;Few weeks;Usually;Dump in near by trash can;Ignore it;Sell;No;I think about negative impact of plastic but I buy it anyways;Yes;Social media;Individual behavior change;Agree;Cloth bag;Strongly Agree
20;Female;Middle Aged;Data gunj buksh;University;Employee;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System,                  Local economy;500 years;I never saw it;Neutral;Strongly Agree;Agree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil,                                    Other;Easily Available,               No Alternatives;Always;11 - 25;Never;Never;Sometimes;Outdoor;Always;more than 5;Few weeks;Always;Dump in near by trash can;Sometimes pick it up;Open Dumping;No;I think about negative impact of plastic but I buy it anyways;No;News;Corporate responsibility and sustainability initiatives;Strongly Agree;Cloth bag;Strongly Agree
21;Female;Young;Iqbal Town;University;Employee;Strongly Agree;Marine life,                            Health,             Sewage System;500 years;Yes;Agree;Strongly Agree;Strongly Agree;Bottle,                          Bags,  Food containers,                                  Bowls,                                   Slipper,                                 Utensil;Lightweight,        Easily Available;Never;1- 10;Usually;Always;Usually;Office;Usually;One time;Few months;Always;Dump in near by trash can;Sometimes pick it up;Sort through proper channels;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Individual behavior change;Agree;Cloth bag;Agree
22;Female;Young;Iqbal Town;University;Working Student;Strongly Agree;Marine life,                            Health,          Deterioration of Natural Beauty,             Sewage System;Don’t know;No;Strongly Agree;Strongly Agree;Disagree;Bottle,                          Bags,                              Buckets,  Food containers,                                  Bowls,                                   Slipper,                    Snack Bag,                                 Utensil;Price is Low,                         Lightweight,        Easily Available;Usually;1- 10;Never;Never;Sometimes;Home;Always;One time;Few months;Always;Dump in near by trash can;Always pick it up;Sell;No;I think about the negative impact of the plastic and sometimes I don not buy it;Yes;Social media;Government regulations and bans;Strongly Agree;Cloth bag;Strongly Agree
